Type,cz,de,en
Noun,Bunda,die Jacke,jacket
Noun,Košile,das Hemd,shirt
Noun,Kabát,der Mantel,coat
Noun,Kalhoty,die Hose,trousers
Noun,Sukně,der Rock,skirt
Noun,Šaty,das Kleid,dress
Noun,Tričko,das T-Shirt,T-shirt
Noun,Blůza,die Bluse,blouse
Noun,Svetr,der Pullover,pullover
Noun,Kabát,der Mantel,coat
Noun,Klobouk,der Hut,hat
Noun,Čepice,die Mütze,cap
Noun,Rukavice,der Handschuh,gloves
Noun,Ponožky,die Socke,socks
Noun,Boty,die Schuhe,shoes
Noun,Sandály,die Sandalen,sandals
Noun,Kravata,die Krawatte,tie
Noun,Pás,der Gürtel,belt
Noun,Pyžamo,der Schlafanzug,pyjamas
Noun,Spodní prádlo,die Unterwäsche,underwear
Noun,Šála,der Schal,scarf
Noun,Rouška,die Maske,mask
Noun,Plavky,der Badeanzug,bathsuit
Noun,Šortky,die Shorts,shorts
Noun,Vysoké boty,die Stiefel,boots
