Type,cz,de,en
Adjective,pomalý,langsam,slow
Adjective,teplý,warm,warm
Adjective,studený,kalt,cold
Adjective,nový,neu,new
Adjective,starý,alt,old
Adjective,krásný,schön,beautiful
Adjective,ošklivý,hässlich,ugly
Adjective,silný,stark,strong
Adjective,slabý,schwach,weak
Adjective,těžký,schwer,hard
Adjective,lehký,leicht,easy
Adjective,drahý,teuer,expensive
Adjective,levný,billig,cheap
Adjective,čistý,sauber,clean
Adjective,špinavý,schmutzig,dirty
Adjective,tichý,leise,silent
Adjective,hlasitý,laut,loud
Adjective,chytrý,klug,smart
Adjective,hloupy,dumm,dumb
Adjective,šťastný,glücklich,lucky
Adjective,smutný,traurig,sad
Adjective,zdravý,gesund,healthy
Adjective,nemocný,krank,sick
Adjective,bohatý,reich,rich
Adjective,chudý,arm,poor
Adjective,sladký,süß,sweet
Adjective,slaný,salzig,salty
Adjective,hořký,bitter,bitter
Adjective,kyselý,sauer,sour
Adjective,chutný,lecker,tasty
Adjective,horký,heiß,hot
Adjective,měkký,weich,soft
Adjective,tvrdý,hart,hard
Adjective,zajímavý,interessant,interesting
Adjective,nudný,langweilig,boring
Adjective,snadný,einfach,simple
Adjective,složitý,kompliziert,complicated
Adjective,mocný,kräftig,powerful
Adjective,moderní,modern,modern
Adjective,staromodní,altmodisch,old-fashioned
Adjective,suchý,trocken,dry
Adjective,mokrý,nass,wet
Adjective,plný,voll,full
Adjective,prázdný,leer,empty
Adjective,hladový,hungrig,hungry
Adjective,naplněný,gefüllt,filled
